acteurs,anecdotes,duree,entrees,genre,pays,realisateur,studio,titre
"Odessa Young,Josh O'Connor,Colin Firth",7,104,21941,"Drame,Historique,Romance",Grande-Bretagne,Eva Husson,Condor Distribution,Entre les lignes
"Khalil Gharbia,Julien De Saint-Jean,Amine Hamidou",5,83,8324,"Drame,Romance",Belgique,Zeno Graton,Rezo Films,Le Paradis
"Iain Armitage, Valentina,Marsai Martin",5,86,459566,"Aventure,Animation,Comédie",U.S.A.,Cal Brunker,Paramount Pictures France,La Pat’ Patrouille - Le film
"Nicolas Cage,Pedro Pascal,Alessandra Mastronardi",8,108,57763,"Action,Comédie",U.S.A.,Tom Gormican,Metropolitan FilmExport,Un talent en or massif
" Booder,Gerard Giroudon,Adèle Pinckaers",6,85,37548,Comédie,France," Booder,Gaelle Falzerana",Apollo Films,Le Grand cirque
"Alexandre Bacon,Yves Jacques,Ludivine Reding",5,82,55112,"Aventure,Animation,Famille",Canada,"Christine Dallaire-Dupont,Nicola Lemay",Eurozoom,"Katak, le brave béluga"
"Asia Argento,Jeanne Balibar,Joe Rezwin",7,90,31,"Espionnage,Thriller",France,Jérôme Dassier,Alba Films,Seule : les dossiers Silvercloud
"Sara Giraudeau,Pierre Deladonchamps,Grégoire Ludig",7,100,56502,"Comédie,Romance",France,Murielle Magellan,SND,La Page blanche
"Théo Cholbi,Mohamed El Amine Mouffok,Pierre Lottin",6,82,18899,"Drame,Historique",France,Philippe Faucon,Pyramide Distribution,Les Harkis
"Lila Lacombe,Kaycie Chase,Jérémie Covillault",7,74,40755,Animation,France,"Jean-Jacques Denis,Anthony Roux",Gebeka Films,Princesse Dragon
"Louise Bourgoin,Samy Belkessa,Sâm Mirhosseini",4,95,14210,Drame,France,Nicolas Silhol,Diaphana Distribution,Anti-Squat
"Thomasin McKenzie,Anya Taylor-Joy,Matt Smith (XI)",11,117,51314,"Epouvante-horreur,Thriller",Grande-Bretagne,Edgar Wright,Universal Pictures International France,Last Night in Soho
"Louane Emera,Kaho Nakamura,Antonin Icovic",8,122,54238,"Aventure,Animation,Drame",Japon,Mamoru Hosoda,Wild Bunch Distribution,Belle
"Alice Pol,Alice Pol,Vincent Cassel",4,93,302,"Animation,Comédie,Famille",France,"Laurent Zeitoun,Theodore Ty",SND,Vaillante
"Neve Campbell,Courteney Cox,David Arquette",16,115,212555,"Epouvante-horreur,Thriller",U.S.A.,"Matt Bettinelli-Olpin,Tyler Gillett",Paramount Pictures France,Scream
"Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan",10,112,103555,"Biopic,Drame,Espionnage",Grande-Bretagne,Dominic Cooke,SND,Un espion ordinaire
"Regina Lei,Berant Zhu,Tzu-Chiang Wang",5,100,18013,Epouvante-horreur,Taïwan,Rob Jabbaz,ESC Films,The Sadness
"Sherab Dorji,Ugyen Norbu Lhendup,Kelden Lhamo Gurung",4,109,15192,"Aventure,Drame,Famille",Bhoutan,Pawo Choyning Dorji,ARP Sélection,L'école du bout du monde
"Philippe Lacheau,Julien Arruti,Tarek Boudali",11,82,576138,"Action,Comédie",France,Philippe Lacheau,StudioCanal,Super-héros malgré lui
"Valérie Lemercier,Sylvain Marcel,Danielle Fichaud",11,126,595211,"Biopic,Drame,Musical",France,Valérie Lemercier,Gaumont Distribution,Aline
Alex Cox,4,84,6856,"Animation,Expérimental,Fantastique",U.S.A.,Phil Tippett,Carlotta Films,Mad God
"Doona Bae,Kim Si-eun, Choi Hee-jin",4,137,29840,"Policier,Drame",Corée du Sud,July Jung,Arizona Distribution,About Kim Sohee
"Rahaf Ataya,Elsa Mardirossian,Manuel Tadros",3,73,15477,"Aventure,Animation,Fantastique",France,"Marya Zarif,André Kadi",Haut et Court,Dounia et la princesse d’Alep
"Gérard Jugnot,Camille Lou, Artus",8,95,148506,Comédie,France,Nicolas Cuche,Apollo Films,Pourris gâtés
"Margot Robbie,Mary Elizabeth Winstead,Jurnee Smollett",14,109,412178,"Action,Aventure",U.S.A.,Cathy Yan,Warner Bros. France,Birds of Prey et la fantabuleuse histoire de Harley Quinn
"Alexandre Steiger,Christophe Paou,Lilith Grasmug",8,105,17696,"Comédie,Drame",France,Jean-Christophe Meurisse,The Jokers / Les Bookmakers,Oranges sanguines
"Philippe Katerine,Sophie Letourneur",6,91,16693,Comédie,France,Sophie Letourneur,Météore Films,Voyages en Italie
"Adèle Exarchopoulos,Sally Dramé,Swala Emati",13,97,32452,"Comédie,Comédie dramatique,Drame",France,Léa Mysius,Le Pacte,Les Cinq Diables
"Bárbara Lennie,Irene Escolar,Itziar Manero",2,85,2991,Comédie dramatique,Espagne,Itsaso Arana,Arizona Distribution,Les Filles vont bien
"Fehd Benchemsi,Abdelhadi Talbi,Rabii Benjhaile",7,120,7433,"Comédie,Comédie dramatique,Drame",France,Faouzi Bensaïdi,Dulac Distribution,Déserts
"Elsa Zylberstein,François-Xavier Demaison,Stéphane De Groodt",5,103,1547,Comédie,France,Nicolas Vanier,SND,Champagne !
"Song Kang-Ho,Dong-won Gang,Doona Bae",7,129,64763,Drame,Corée du Sud,Hirokazu Kore-eda,Metropolitan FilmExport,Les Bonnes étoiles
"Alain Chabat,Laurent Lafitte,Simon Faliu",10,86,75050,"Aventure,Animation,Comédie",France,"Amandine Fredon,Benjamin Massoubre",Bac Films,Le Petit Nicolas - Qu’est-ce qu’on attend pour être heureux ?
"Mathilde La Musse,Aydan Hullmann-Bennouioua,Sandrine Bonnaire",6,99,4073,Drame,France,Caroline Glorion,Alba Films,Comme une louve
"Eye Haïdara,Ahmed Sylla,Léa Drucker",8,105,105828,Comédie,France,Julien Rambaldi,UGC Distribution,Les Femmes du square
"Omar Sy,Virginie Efira,Grégory Gadebois",7,99,84682,"Drame,Thriller",France,Anne Fontaine,StudioCanal,Police
"Elie Semoun,Émilie Caen,Gabin Tomasino",7,86,295230,Comédie,France,Elie Semoun,UGC Distribution,Ducobu Président !
"Enzo Ratsito,Natsuki Hanae,Akari Kito",2,117,168930,"Action,Animation,Fantastique",Japon,Haruo Sotozaki,CGR EVENTS,Demon Slayer - Kimetsu no Yaiba - Le film : Le train de l'infini
"Vadim Agid,Lola Andreoni,Mathieu Berger",8,87,121393,Epouvante-horreur,France,Barthélémy Grossmann,Apollo Films,"Arthur, malédiction"
"Shaïn Boumedine,Julie Depardieu,Philippe Rebbot",8,111,49668,Comédie dramatique,France,Nessim Chikhaoui,Le Pacte,Placés
"Capucine Sainson-Fabresse,Corinne Masiero,Lucie Laurent",6,83,45873,"Aventure,Famille",France,Guillaume Maidatchevsky,Orange Studio Distribution / UGC Distribution,"Mon chat et moi, la grande aventure de Rroû"
"Pablo Pauly,Romain Eck,Hafsia Herzi",7,103,15360,"Comédie,Romance",France,Florent Gouëlou,Pyramide Distribution,Trois nuits par semaine
"Keri Russell,O'Shea Jackson Jr.,Christian Convery",14,95,75915,"Comédie,Policier,Thriller",U.S.A.,Elizabeth Banks,Universal Pictures International France,Crazy Bear
"Dimitra Vlagkopoulou,Flomaria Papadaki,Ahilleas Hariskos",0,116,1213,Drame,Grèce,Sofia Exarchou,Shellac,Animal
"Pierfrancesco Favino,Kasia Smutniak,Bérénice Bejo",6,132,31238,Drame,Italie,Francesca Archibugi,Paname Distribution,Le Colibri
"Taraneh Alidoosti,Navid Mohammadzadeh,Payman Maadi",7,159,41242,Drame,Iran,Saeed Roustaee,Wild Bunch Distribution,Leila et ses frères
"Samuel Labarthe,Jean-Paul Bordes,Mikaël Chirinian",13,110,388293,Drame,France,Jean-Jacques Annaud,Pathé,Notre-Dame brûle
,3,37,81,"Animation,Famille",Espagne,Rodolfo Pastor,Les Films du Whippet,Capelito fait son cinéma
"Oumaïma Barid,Mehdi Dehbi,Fouad Oughaou",4,90,5023,"Drame,Fantastique,Science Fiction",France,Sofia Alaoui,Ad Vitam,Animalia
"Priyanka Chopra Jonas,Sam Heughan,Céline Dion",7,105,36242,"Comédie,Romance",U.S.A.,Jim Strouse,Sony Pictures Releasing France,"Love Again : un peu, beaucoup, passionnément"
"Juliette Jouan,Raphaël Thiéry,Noémie Lvovsky",7,105,14978,"Drame,Historique,Romance",France,Pietro Marcello,Le Pacte,L'Envol
"Sara Forestier,Laetitia Dosch,Pierre Lottin",8,88,16168,Comédie,France,Nine Antico,KMBO,Playlist
"Céleste Brunnquell,Quentin Dolmaire,François Négret",5,108,17284,Comédie dramatique,France,"Jeanne Aslan,Paul Saintillan",New Story,Fifi
"Jim Carrey,Ben Schwartz,James Marsden",11,99,771015,"Aventure,Famille",U.S.A.,Jeff Fowler,Paramount Pictures France,Sonic le film
"Hugo Trophardy,Guillaume De Tonquédec,Anne Marivin",5,85,361350,Comédie,France,Pascal Bourdiaux,SND,Les Blagues de Toto 2 - classe verte
"François Berléand,Kacey Mottet Klein,Maria Ribot",4,82,18534,Comédie,Suisse,Delphine Lehericey,Epicentre Films,Last Dance !
"Pierre Arditi,Jackie Berroyer,François Damiens",7,96,35841,Comédie,France,Edouard Baer,Le Pacte,Adieu Paris
"Zhou Dongyu,Liu Haoran,Chuxiao Qu",5,97,12843,Drame,Chine,Anthony Chen,Nour Films,Un hiver à Yanji
"José Garcia,André Dussollier,Capucine Valmary",7,101,153920,"Policier,Drame,Thriller",France,Anne Le Ny,SND,Le Torrent
"Grégoire Ludig,David Marsais,Julien Pestel",7,101,179006,Comédie,France,Jonathan Barré,Gaumont Distribution,Les Vedettes
"Alfred Ekker Strande,Mattis Herman Nyquist,Ola G. Furuseth",5,105,6375,"Biopic,Drame",Norvège,Henrik Martin Dahlsbakken,Kinovista,Munch
"Maren Eggert,Dan Stevens,Sandra Hüller",6,105,16932,"Comédie,Drame,Romance",Allemagne,Maria Schrader,Haut et Court,I’m Your Man
"Javier Bardem,Manolo Solo,Almudena Amor",4,120,57333,Comédie,Espagne,Fernando León de Aranoa,Paname Distribution,El buen patrón
"Kelvin Harrison Jr.,Taylor Russell,Sterling K. Brown",8,137,1283,Drame,U.S.A.,Trey Edward Shults,Universal Pictures International France,Waves
"Emilio Sakraya,Mona Pirzad,Hussein Eliraqui",6,138,11672,"Biopic,Drame,Musical",Allemagne,Fatih Akın,Pathé,Rheingold
"Rebecca Marder,André Marcon,Anthony Bajon",8,98,68056,"Drame,Historique",France,Sandrine Kiberlain,Ad Vitam,Une jeune fille qui va bien
"Odin Lund Biron,Alyona Mikhailova,Filipp Avdeyev",9,143,79463,"Biopic,Drame",Russie,Kirill Serebrennikov,Bac Films,La Femme de Tchaïkovski
"Alícia Falcó,Elena Tarrats,Itziar Ituño",3,95,911,Drame,Espagne,Silvia Munt,Damned Distribution,En bonne compagnie
"Jovan Ginic,Jasna Djuricic,Miodrag Jovanović",7,98,4831,Drame,France,Vladimir Perišić,Rezo Films,Lost Country
"Clara Gostynski,Alexei Evstratov,Monika Stalder",5,93,3609,Drame,Suisse,Cyril Schäublin,Shellac,Désordres
"Nicholas Hoult,Nicolas Cage, Awkwafina",13,93,25984,"Comédie,Epouvante-horreur",U.S.A.,Chris McKay,Universal Pictures International France,Renfield
"Russell Crowe,Caren Pistorius,Gabriel Bateman",9,90,144754,"Action,Thriller",U.S.A.,Derrick Borte,SND,Enragé
"Melha Bedia,Audrey Fleurot,François Berléand",8,100,168103,Comédie,France,Frédéric Quiring,UGC Distribution,La très très grande classe
"Jacob Lohmann,Simon Sears,Michael Brostrup",5,108,4927,"Action,Policier,Thriller",Danemark,"Anders Ølholm,Frederik Louis Hviid",Alba Films,Shorta
"Laurent Lafitte,Karin Viard,Vincent Macaigne",10,98,117938,Comédie,France,Laurent Lafitte,StudioCanal,L'Origine Du Monde
"Pierre Deladonchamps,Laetitia Dosch,Grégory Montel",5,107,39242,"Comédie,Comédie dramatique,Drame",France,Gilles Perret,Jour2fête,Reprise en main
"Irène Ismailoff,Patrick Dross,Matthieu Moerlen",0,61,283,Comédie,France,Laurent Firode,Bon Voyage Films,Le Monde d'après
"Alex Lutz,André Dussollier,Laura Sepul",6,85,20637,"Action,Drame,Thriller",France,Quentin Reynaud,Apollo Films,En plein feu
"Kad Merad,Fatsah Bouyahmed,Oulaya Amamra",8,96,57538,"Comédie,Drame",France,Mohamed Hamidi,Apollo Films,Citoyen d'honneur
"Sophie Marceau,Johan Heldenbergh,Cristina Flutur",6,96,13090,Drame,France,Jean Paul Civeyrac,Rezo Films,Une femme de notre temps
,3,47,8221,"Animation,Famille",France,,Les Films du Préau,Contes de Printemps
"Aliocha Reinert,Antoine Reinartz,Mélissa Olexa",10,95,33148,"Comédie,Drame",France,Samuel Theis,Ad Vitam,Petite Nature
"Kevin Costner,Diane Lane,Lesley Manville",10,115,10884,"Drame,Thriller",U.S.A.,Thomas Bezucha,Universal Pictures International France,L'Un des nôtres
"Dan Stevens,Alison Brie,Sheila Vand",4,88,45458,"Epouvante-horreur,Thriller",U.S.A.,Dave Franco,Metropolitan FilmExport,The Rental
"Virginie Efira,Tahar Rahim,Alain Chamfort",8,100,8500,"Comédie dramatique,Comédie musicale",France,Serge Bozon,ARP Sélection,Don Juan
"Pierre Richard,Eddy Mitchell,Bernard Le Coq",8,97,148172,Comédie,France,Christophe Duthuron,Apollo Films / Orange Studio,Les Vieux fourneaux 2 : bons pour l’asile
"Paul Belhoste,Mathys Clodion-Gines,Aymé Medeville",6,106,45538,Comédie,France,Pierre Salvadori,Gaumont Distribution,La Petite Bande
"Elio Germano,Barbara Chichiarelli,Lino Musella",6,100,2986,Drame,Italie,"Fabio D'Innocenzo,Damiano D'Innocenzo",Le Pacte,Storia di vacanze
"Françoise Lebrun,Dario Argento,Alex Lutz",8,142,13046,Drame,France,Gaspar Noé,Wild Bunch Distribution,Vortex
"Jean-Paul Rouve,Julie Depardieu,Ramzy Bedia",9,82,47192,Comédie,France,François Desagnat,Apollo Films / Orange Studio,Zaï Zaï Zaï Zaï
"Pierre Deladonchamps,Zoé Iorio,Camélia Jordana",5,103,9010,Drame,Allemagne,Kilian Riedhof,Haut et Court,Vous n'aurez pas ma haine
"Franck Dubosc,Emmanuelle Devos,Danièle Lebrun",6,86,101658,Comédie,France,Clément Michel,Gaumont Distribution,Noël Joyeux
"Sandrine Kiberlain,Pascal Elbé,Valérie Donzelli",8,94,158922,"Comédie,Romance",France,Pascal Elbé,Diaphana Distribution,On est fait pour s’entendre
"Isabelle Fuhrman,Julia Stiles,Rossif Sutherland",3,99,140678,"Epouvante-horreur,Thriller",U.S.A.,William Brent Bell,Metropolitan FilmExport,Esther 2 : Les Origines
"Clovis Cornillac,Alice Pol,Manon Lemoine",11,97,90935,"Comédie,Fantastique",France,Clovis Cornillac,Orange Studio Distribution / UGC Distribution,C'est magnifique !
"Doryan Ben,Shawn Mendes,Javier Bardem",10,107,132431,"Comédie,Famille,Musical",U.S.A.,"Will Speck,Josh Gordon",Sony Pictures Releasing France,Enzo le Croco
"Juliette Binoche,Hélène Lambert,Léa Carne",9,107,126975,Drame,France,Emmanuel Carrère,Memento Distribution,Ouistreham
"Dong-won Gang,Do-Yoon Kim,Jung-hyun Lee",6,116,107865,"Action,Epouvante-horreur",Corée du Sud,Sang-Ho Yeon,ARP Sélection,Peninsula
"Susanne Wolff,Sandra Hüller,Georg Friedrich",5,132,2858,"Drame,Historique",Allemagne,Frauke Finsterwalder,Kinovista,Sissi & moi
"Nicolas Cage,Alex Wolff,Cassandra Violet",7,91,10015,"Drame,Thriller",U.S.A.,Michael Sarnoski,Metropolitan FilmExport,Pig
"Isabelle Carré,Bernard Campan,Mounir Amamra",7,82,110323,"Comédie,Romance",France,Ivan Calbérac,StudioCanal,La Dégustation
"Carla Maciel,Fátima Soares,Vitória Nogueira da Silva",3,119,574,Drame,Portugal,"João Miller Guerra,Filipa Reis",Norte Distribution,Légua
"Éric Nantchouang,Salif Cissé,Édouard Sulpice",5,95,5612,Comédie,France,Guillaume Brac,Arte,À l’abordage
"Penélope Cruz,Milena Smit,Israel Elejalde",10,123,221999,Drame,Espagne,Pedro Almodóvar,Pathé,Madres paralelas
"Danielle Deadwyler,Jalyn Hall,Whoopi Goldberg",11,130,31818,"Biopic,Drame",U.S.A.,Chinonye Chukwu,Universal Pictures International France,Emmett Till
"Juliette Binoche,Yolande Moreau,Noémie Lvovsky",7,109,171000,Comédie,France,Martin Provost,Memento Distribution,La Bonne épouse
"Mahamadou Sangaré,Martin Jauvat,William Lebghil",5,72,6676,Comédie,France,Martin Jauvat,JHR Films,Grand Paris
"Sami Bouajila,Roschdy Zem,Meriem Serbah",7,85,98004,Drame,France,Roschdy Zem,Le Pacte,Les Miens
"Sergi López,David Marsais,Silvia Pérez Cruz",7,71,61028,"Animation,Biopic,Drame",France, Aurel,Dulac Distribution,Josep
"Roschdy Zem,Yolande Moreau,Marina Hands",6,82,60604,Drame,France,Chad Chenouga,Le Pacte,Le Principal
"Nina Hoss,Uwe Boll,Katia Pascariu",3,163,1865,"Comédie,Comédie dramatique,Drame",Roumanie,Radu Jude,Météore Films,N’attendez pas trop de la fin du monde
"Rooney Mara,Claire Foy,Jessie Buckley",13,104,17688,Drame,U.S.A.,Sarah Polley,Universal Pictures International France,Women Talking
"Mélanie Thierry,Lyes Salem,Félix Moati",8,102,61129,Drame,France,Fabien Gorgeart,Le Pacte,La Vraie famille
"Khady Mane,Mamadou Diallo,Binta Racine Sy",7,87,11021,Drame,France,Ramata-Toulaye Sy,Tandem,Banel & Adama
"Vincent Cassel,Bérénice Bejo,Florence Foresti",6,100,95111,Comédie,France,Daniel Cohen,SND,Le Bonheur des uns...
"Raphaël Personnaz,Jan Gunnar Røise,Kåre Conradi",3,92,7248,"Aventure,Animation,Famille",Norvège,Kajsa Næss,Les Films du Losange,Titina
"Joséphine Sanz,Gabrielle Sanz,Nina Meurisse",11,73,29219,Drame,France,Céline Sciamma,Pyramide Distribution,Petite maman
"Eero Milonoff,Alma Pöysti,Oona Airola",5,121,7753,"Drame,Romance",Finlande,Selma Vilhunen,Haut et Court,Amours à la finlandaise
"Marilyne Naaman,Antoine Merheb Harb,Nathalie Baye",7,83,12657,"Drame,Romance",France,Carlos Chahine,JHR Films / Jour2Fête,La Nuit du verre d’eau
,0,44,3268,"Animation,Famille",France,"Ana Chubinidze,Lilit Altunyan,Jaimeen Desai",Gebeka Films,"Caillou, chou, hibou"
"Storm Reid,Nia Long,Megan Suri",3,111,53919,"Drame,Thriller",U.S.A.,"Will Merrick (II),Nicholas D. Johnson",Sony Pictures Releasing France,Missing : Disparition inquiétante
"Alex Lutz,Golshifteh Farahani,Olivier Chantreau",6,98,10405,"Comédie,Romance",France,Thibault Segouin,Alba Films,Une comédie romantique
"Chris Rock,Max Minghella,Samuel L. Jackson",8,93,33994,"Epouvante-horreur,Thriller",U.S.A.,Darren Lynn Bousman,Metropolitan FilmExport,Spirale : L'Héritage de Saw
"Steven Yeun,Ye-Ri Han,Alan S. Kim",8,116,22413,Drame,U.S.A.,Lee Isaac Chung,ARP Sélection,Minari
"Mathilde Seigner,Bernard Le Coq,Anne Benoit",8,91,125465,"Comédie,Musical",France,"Ida Techer,Luc Bricault",UGC Distribution,Chœur de Rockers
"Fumino Kimura,Tomorowo Taguchi,Tetta Shimada",5,124,34071,Drame,France,Kôji Fukada,Art House,Love Life
"Catherine Frot,Melan Omerta,Fatsah Bouyahmed",8,96,116388,"Comédie,Drame",France,Pierre Pinaud,Diaphana Distribution,La Fine fleur
"Jacques Gamblin,Pascale Arbillot,Pablo Pauly",7,96,37740,"Comédie,Romance",France,François Uzan,UGC Distribution,On sourit pour la photo
"Nick Blood,Emily Wiseman,Paul Kaye",0,93,85068,Epouvante-horreur,Grande-Bretagne,Oliver Park,Metropolitan FilmExport,L'Emprise du démon
"Jim Broadbent,Penelope Wilton,Linda Bassett",6,108,24634,Drame,Grande-Bretagne,Hettie MacDonald,Wild Bunch Distribution,L'Improbable voyage d'Harold Fry
"Park Ji-min (II),Oh Kwang-rok,Guka Han",6,119,44535,Drame,France,Davy Chou,Les Films du Losange,Retour à Séoul
"Jessica Chastain,Penélope Cruz,Bingbing Fan",9,123,120131,"Action,Espionnage,Thriller",U.S.A.,Simon Kinberg,SND,355
"Antoine Pirotte,Pierre Creton,Vincent Barré",6,82,4137,Drame,France,Pierre Creton,JHR Films,Un Prince
"Chieko Baishô,Hayato Isomura,Stefanie Arianne",7,113,162,"Drame,Science Fiction",Philippines,Chie Hayakawa,Eurozoom,Plan 75
"Alexandre Wetter,Pascale Arbillot,Isabelle Nanty",8,107,113727,Comédie,France,Ruben Alves,Warner Bros. France,Miss
"Donnie Yen,Yuqi Chen,Cya Liu",5,130,12831,"Action,Aventure,Arts Martiaux",Hong-Kong,"Donnie Yen,Kam Ka-Wai",Eurozoom,"Sakra, la légende des demi-dieux"
"Jim Broadbent,Helen Mirren,Fionn Whitehead",9,95,54622,"Biopic,Comédie,Drame",Grande-Bretagne,Roger Michell,Pathé,The Duke
"Hassan Madjooni,Pantea Panahiha,Rayan Sarlak",6,93,25480,Drame,Iran,Panah Panahi,Pyramide Distribution,Hit The Road
"Sally Hawkins,Steve Coogan,Harry Lloyd",8,109,37431,"Comédie,Comédie dramatique,Drame",Grande-Bretagne,Stephen Frears,Pathé,The Lost King
"Jamie Lee Curtis,Andi Matichak,Rohan Campbell",13,111,187689,Epouvante-horreur,U.S.A.,David Gordon Green,Universal Pictures International France,Halloween Ends
"Sadaf Asgari,Ghazal Shojaei,Babak Karimi",7,86,6580,Drame,Iran,Ali Asgari,Bodega Films,Juste une nuit
"Camille Cottin,Niels Schneider,Féodor Atkine",5,76,18155,Animation,Luxembourg,Carlo Vogele,Bac Films,Icare
"Jordi Pujol Dolcet,Anna Otín,Xenia Roset",4,120,20951,Drame,Espagne,Carla Simón,Pyramide Distribution,Nos soleils
"Benjamin Biolay,Élodie Bouchez,Judith Chemla",4,110,1634,Drame,France,Laetitia Masson,Jour2fête,Un hiver en été
"Mina Kavani,Hadmidreza Djavdan",5,100,3933,"Animation,Drame",France,Sepideh Farsi,Bac Films,La Sirène
"Nathalie Baye,Lyna Khoudri,Pascale Arbillot",8,101,92692,"Comédie,Comédie dramatique,Drame",France,Sylvie Ohayon,UGC Distribution,Haute couture
"Lio Mehiel,Cole Doman,MiMi Ryder",3,82,2712,Drame,U.S.A.,Vuk Lungulov-Klotz,Dulac Distribution,24 heures à New-York
"Benoît Poelvoorde,Alba Gaia Bellugi,Mélanie Doutey",8,99,15001,Thriller,France,Fabrice Du Welz,The Jokers / Les Bookmakers,Inexorable
"Anthony Bajon,Christine Gautier,Ludovic Torrent",10,88,20269,"Comédie,Fantastique,Epouvante-horreur",France,"Ludovic Boukherma,Zoran Boukherma",The Jokers / Les Bookmakers,Teddy
"Alexandra Lamy,Philippe Katerine,Matteo Perez",4,79,150143,"Comédie,Famille",France,Emmanuel Poulain-Arnaud,Apollo Films,Le Test
"Louise Labeque,Julia Faure,Laetitia Casta",7,80,5074,Drame,France,Bertrand Bonello,New Story,Coma
"Dinara Drukarova,Sam Louwyck,Björn Hlynur Haraldsson",7,84,9462,Drame,France,Dinara Drukarova,Rezo Films,Grand marin
"Karin Viard,Jean-Paul Rouve,Ramzy Bedia",6,101,60910,"Comédie,Romance",France,"Stéphane Foenkinos,David Foenkinos",Gaumont Distribution,Les Fantasmes
