acteurs,budget,compositeur,date,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
"
                            Russell Crowe,
                            Mark Wahlberg,
                            Catherine Zeta Jones",35 000 000 $,,  26/06/2013,73 624,,Thriller,Etats-Unis,,,,,"
                Studiocanal","
                            Broken City",https://www.jpbox-office.com/fichfilm.php?id=13108&view=2
"
                            Mark Wahlberg,
                            Julianne Moore,
                            Don Cheadle,
                            William H. Macy,
                            John C. Reilly,
                            Burt Reynolds,
                            Heather Graham,
                            Philip Seymour Hoffman",15 000 000 $,,  18/03/1998,73 788,,Drame,Etats-Unis,,"
                                    Paul Thomas Anderson",,,"
                Metropolitan","
                            Boogie Nights",https://www.jpbox-office.com/fichfilm.php?id=3483&view=2
,35 000 000 $,,  21/07/2010,72 392,,Film familial,Etats-Unis,,,,,"
                SND","
                            La Forêt contre-attaque",https://www.jpbox-office.com/fichfilm.php?id=11148&view=2
,4 600 000 €,,  02/05/2018,72 330,,Comédie,France,,,,,"
                Studiocanal","
                            MILF",https://www.jpbox-office.com/fichfilm.php?id=18027&view=2
"
                            Mathieu Amalric,
                            Catherine Frot,
                            Karin Viard,
                            Sergi Lopez",,,  19/08/2009,71 726,,Comédie dramatique,France,,,,,"
                Wild Bunch","
                            Les Derniers jours du monde",https://www.jpbox-office.com/fichfilm.php?id=10901&view=2
,22 000 000 $,,  11/05/2011,71 550,,Thriller,Etats-Unis,,,,,"
                Metropolitan","
                            Stone",https://www.jpbox-office.com/fichfilm.php?id=11677&view=2
"
                            Yolande Moreau",,,  01/04/2009,71 886,,Animation,France,,,,,"
                MK2 Diffusion","
                            La Véritable histoire du Chat botté",https://www.jpbox-office.com/fichfilm.php?id=10757&view=2
"
                            Mathieu Amalric,
                            Catherine Frot,
                            Karin Viard,
                            Sergi Lopez",9 900 000 €,,  19/08/2009,71 726,,Comédie dramatique,France,,,,,"
                Wild Bunch","
                            Les Derniers jours du monde",https://www.jpbox-office.com/fichfilm.php?id=10901&view=2
"
                            Mathieu Amalric,
                            Pierre Arditi,
                            Sabine Azéma,
                            Lambert Wilson,
                            Denis Podalydès",,,  26/09/2012,71 849,,Comédie dramatique,France,,"
                                    Alain Resnais",,,"
                Studiocanal","
                            Vous n'avez encore rien vu",https://www.jpbox-office.com/fichfilm.php?id=12788&view=2
"
                            Robert De Niro,
                            Milla Jovovich,
                            Edward Norton",22 000 000 $,,  11/05/2011,71 550,,Thriller,Etats-Unis,,,,,"
                Metropolitan","
                            Stone",https://www.jpbox-office.com/fichfilm.php?id=11677&view=2
"
                            Mathieu Amalric,
                            Pierre Arditi,
                            Sabine Azéma,
                            Lambert Wilson,
                            Denis Podalydès",7 244 369 €,,  26/09/2012,71 849,,Comédie dramatique,France,,"
                                    Alain Resnais",,,"
                Studiocanal","
                            Vous n'avez encore rien vu",https://www.jpbox-office.com/fichfilm.php?id=12788&view=2
"
                            Yolande Moreau",10 070 000 €,,  01/04/2009,71 886,,Animation,France,,,,,"
                MK2 Diffusion","
                            La Véritable histoire du Chat botté",https://www.jpbox-office.com/fichfilm.php?id=10757&view=2
,? $,,  27/07/2005,70 800,,Comédie,Grande-Bretagne,,"
                                    Edgar Wright",,,"
                Mars Distribution","
                            Shaun of the Dead",https://www.jpbox-office.com/fichfilm.php?id=1226&view=2
,38 000 000 $,,  10/01/2007,70 911,,Comédie,Etats-Unis,,"
                                    Marc Foster",,,"
                Gaumont Sony","
                            L'Incroyable destin de Harold Crick",https://www.jpbox-office.com/fichfilm.php?id=499&view=2
,17 000 000 $,,  24/03/1999,70 916,,Thriller,Etats-Unis,,"
                                    Sam Raimi",,,"
                UFD","
                            Un plan simple",https://www.jpbox-office.com/fichfilm.php?id=3175&view=2
,3 800 000 €,,  19/05/2010,70 876,,Drame,Italie,,,,,"
                MK2 Diffusion","
                            Copie conforme",https://www.jpbox-office.com/fichfilm.php?id=11350&view=2
"
                            Valérie Bonneton,
                            Oliver Gourmet",,,  29/09/2021,70 150,,Drame,France,,,,,"
                Ad vitam","
                            Eugénie Grandet",https://www.jpbox-office.com/fichfilm.php?id=21286&view=2
"
                            Patricia Arquette,
                            Ethan Hawke",,,  23/07/2014,70 138,,Drame,Etats-Unis,,,,,"
                Diaphana","
                            Boyhood",https://www.jpbox-office.com/fichfilm.php?id=14418&view=2
"
                            Patricia Arquette,
                            Ethan Hawke",2 400 000 $,,  23/07/2014,70 138,,Drame,Etats-Unis,,,,,"
                Diaphana","
                            Boyhood",https://www.jpbox-office.com/fichfilm.php?id=14418&view=2
,? $,,  09/02/2005,70 071,,Drame,Grande-Bretagne,,"
                                    Mike Leigh",,,"
                Mars Distribution","
                            Vera Drake",https://www.jpbox-office.com/fichfilm.php?id=1202&view=2
"
                            Valérie Bonneton,
                            Oliver Gourmet",? €,,  29/09/2021,70 150,,Drame,France,,,,,"
                Ad vitam","
                            Eugénie Grandet",https://www.jpbox-office.com/fichfilm.php?id=21286&view=2
,10 000 000 $,,  08/08/2012,69 082,,Comédie,Etats-Unis,,,,,"
                SND","
                            Jusqu'à ce que la fin du monde nous sépare",https://www.jpbox-office.com/fichfilm.php?id=12727&view=2
,40 000 000 $,,  01/09/2021,69 056,,Horreur,Etats-Unis,,"
                                    James Wan",,,"
                Warner Bros.","
                            Malignant",https://www.jpbox-office.com/fichfilm.php?id=21051&view=2
,28 000 000 $,,  29/11/2017,69 242,,Comédie,Etats-Unis,,,,,"
                Metropolitan","
                            Bad Moms 2",https://www.jpbox-office.com/fichfilm.php?id=17340&view=2
,15 000 000 $,,  11/02/2004,69 059,,Drame,Etats-Unis,,"
                                    Robert Altman",,,"
                Metropolitan","
                            Company",https://www.jpbox-office.com/fichfilm.php?id=1203&view=2
"
                            Sacha Baron Cohen,
                            Penelope Cruz,
                            Rebel Wilson",,,  13/04/2016,69 272,,Comédie,Etats-Unis,,"
                                    Louis Leterrier",,,"
                Sony Pictures","
                            Grimsby - Agent trop spécial",https://www.jpbox-office.com/fichfilm.php?id=15617&view=2
"
                            Sacha Baron Cohen,
                            Penelope Cruz,
                            Rebel Wilson",35 000 000 $,,  13/04/2016,69 272,,Comédie,Etats-Unis,,"
                                    Louis Leterrier",,,"
                Sony Pictures","
                            Grimsby - Agent trop spécial",https://www.jpbox-office.com/fichfilm.php?id=15617&view=2
"
                            Cécile De France",,,  26/06/2002,68 360,,Comédie,France,,,,,"
                SND","
                            Irène",https://www.jpbox-office.com/fichfilm.php?id=1871&view=2
,,,  04/08/1999,68 350,,Drame,Etats-Unis,,"
                                    Steven Soderbergh",,,"
                Bac Films","
                            L'Anglais",https://www.jpbox-office.com/fichfilm.php?id=2825&view=2
,9 000 000 $,,  04/08/1999,68 350,,Drame,Etats-Unis,,"
                                    Steven Soderbergh",,,"
                Bac Films","
                            L'Anglais",https://www.jpbox-office.com/fichfilm.php?id=2825&view=2
"
                            Cécile De France",2 000 000 €,,  26/06/2002,68 360,,Comédie,France,,,,,"
                SND","
                            Irène",https://www.jpbox-office.com/fichfilm.php?id=1871&view=2
"
                            Laure Calamy",,,  30/11/2022,68 373,,Comédie dramatique,France,,,,,"
                Diaphana","
                            Annie Colère",https://www.jpbox-office.com/fichfilm.php?id=22432&view=2
"
                            Virginie Efira",,,  22/12/2021,68 324,,Drame,France,,,,,"
                Paname Distribution","
                            Madeleine Collins",https://www.jpbox-office.com/fichfilm.php?id=21344&view=2
"
                            Virginie Efira",3 600 000 €,,  22/12/2021,68 324,,Drame,France,,,,,"
                Paname Distribution","
                            Madeleine Collins",https://www.jpbox-office.com/fichfilm.php?id=21344&view=2
"
                            Laure Calamy",171 503 ,,  30/11/2022,68 373,,Comédie dramatique,France,,,,,"
                Diaphana","
                            Annie Colère",https://www.jpbox-office.com/fichfilm.php?id=22432&view=2
,13 000 000 $,,  13/09/2006,66 767,,Thriller,Etats-Unis,,"
                                    Sidney Lumet",,,"
                Metropolitan","
                            Jugez-moi coupable",https://www.jpbox-office.com/fichfilm.php?id=529&view=2
